"lon","lat","mean_sea_dist_m"
-115,44.3661956787109,661190.74133071
-112.5,44.3661956787109,833624.089200426
-110,44.3661956787109,1013456.42558419
-107.5,44.3661956787109,1197229.31893638
-105,44.3661956787109,1383228.26315178
-102.5,44.3661956787109,1569693.42826829
-100,44.3661956787109,1687535.66154803
-97.5,44.3661956787109,1634649.49148361
-95,44.3661956787109,1586751.84603014
-92.5,44.3661956787109,1405493.13607053
-90,44.3661956787109,1210917.32203915
-85,44.3661956787109,817895.252980611
-75,44.3661956787109,78617.2201234385
-72.5,44.3661956787109,140885.420504898
-70,44.3661956787109,50808.4843691352
-122.5,45.6338043212891,83953.2301808166
-120,45.6338043212891,254413.104082251
-117.5,45.6338043212891,420622.856286187
-115,45.6338043212891,596613.367680061
-112.5,45.6338043212891,779729.587941902
-110,45.6338043212891,965761.637808733
-107.5,45.6338043212891,1152030.03955821
-105,45.6338043212891,1337487.21782368
-102.5,45.6338043212891,1523179.3666879
-100,45.6338043212891,1709220.64419913
-97.5,45.6338043212891,1759209.62568913
-95,45.6338043212891,1586226.94734429
-92.5,45.6338043212891,1392177.49286428
-90,45.6338043212891,1197872.71731801
-87.5,45.6338043212891,1003410.69712731
-85,45.6338043212891,808936.41020805
-70,45.6338043212891,130474.59784083
-122.5,46.9014091491699,34574.6710155796
-120,46.9014091491699,188625.352961082
-117.5,46.9014091491699,372352.943926041
-115,46.9014091491699,558264.666169577
-112.5,46.9014091491699,743987.073961115
-110,46.9014091491699,929486.660370766
-107.5,46.9014091491699,1115438.37675231
-105,46.9014091491699,1301528.67804436
-102.5,46.9014091491699,1487546.6483854
-100,46.9014091491699,1673352.37148817
-97.5,46.9014091491699,1770732.99817073
-95,46.9014091491699,1580635.86113778
-92.5,46.9014091491699,1390579.75311453
-120,48.1690139770508,170844.184499541
-117.5,48.1690139770508,354634.004308778
-115,48.1690139770508,539723.947027224
-112.5,48.1690139770508,725003.865069419
-110,48.1690139770508,910221.257348932
-107.5,48.1690139770508,1095260.79720679
-105,48.1690139770508,1280044.82308033
-102.5,48.1690139770508,1464509.23389086
-100,48.1690139770508,1648595.57035717
-97.5,48.1690139770508,1771695.48784266
-95,48.1690139770508,1587402.81236727
-92.5,48.1690139770508,1403066.13935166
