"lon","lat","mean_elev","sd_elev"
-122.5,45.6338043212891,381.218257563612,304.157896657058
-120,45.6338043212891,501.061041107164,276.089219272871
-117.5,45.6338043212891,1325.59944083294,406.358870936339
-115,45.6338043212891,1781.09308947148,407.04237487636
-112.5,45.6338043212891,1901.82981065867,348.875425412247
-110,45.6338043212891,1949.52183738422,590.940067574014
-107.5,45.6338043212891,1070.19110320946,160.747453537475
-105,45.6338043212891,989.629806854811,82.2707175688087
-102.5,45.6338043212891,795.810194856925,50.6062907835087
-100,45.6338043212891,571.627024419469,39.918383197132
-97.5,45.6338043212891,478.878784892289,87.4861174565443
-95,45.6338043212891,385.053261786231,29.0008246982534
-92.5,45.6338043212891,314.477532817997,38.9685645639373
-90,45.6338043212891,470.13643399594,26.3908467578578
-87.5,45.6338043212891,243.006648537828,57.8089666390569
-85,45.6338043212891,206.406369991714,43.276590272931
-70,45.6338043212891,464.398966501499,109.007359695362
-122.5,46.9014091491699,336.925093586442,298.402921477249
-120,46.9014091491699,543.367675149744,306.173555329872
-117.5,46.9014091491699,649.387556253623,147.469089840586
-115,46.9014091491699,1478.36871706749,304.916742553624
-112.5,46.9014091491699,1664.18318400043,298.79292607703
-110,46.9014091491699,1443.40500405622,284.618950967739
-107.5,46.9014091491699,912.00700443463,63.9635018406741
-105,46.9014091491699,796.524092404109,74.4894534035785
-102.5,46.9014091491699,725.477599200332,62.2982203550434
-100,46.9014091491699,577.069736781856,30.5209893542053
-97.5,46.9014091491699,343.958351800159,48.2158931374048
-95,46.9014091491699,438.19924085147,30.7021518048255
-92.5,46.9014091491699,382.945246185466,59.5779875447116
-120,48.1690139770508,838.037452003314,414.414481645477
-117.5,48.1690139770508,742.905362790752,167.398623701574
-115,48.1690139770508,1296.27256281876,260.725499415956
-112.5,48.1690139770508,1485.16927045038,341.833151716585
-110,48.1690139770508,982.003972783399,179.316689386252
-107.5,48.1690139770508,772.36554742481,49.3692444202908
-105,48.1690139770508,683.587197771631,54.4284192222993
-102.5,48.1690139770508,643.619429758529,54.4110408244599
-100,48.1690139770508,487.090452014985,16.7897099637732
-97.5,48.1690139770508,323.060446062813,70.2685098545657
-95,48.1690139770508,375.951740718696,21.8740614993583
-92.5,48.1690139770508,421.138411742508,21.8399720345088
